fecha_hora,sector,ubicacion,colonia,observaciones,clasificacion,causa,lesionados,fallecidos,vehiculos_cantidad
2015-05-01 00:00:00,"ORIENTE 2","CARRT. TORREON MATAMOROS ALTURA DE LA JOYA","EJIDO LA JOYA","TURNO NOCTURNO","CHOQUE","EXCESO DE VELOCIDAD",0,0,0
2015-05-01 00:00:00,"SUR 2","CARRT. TORREON MATAMOROS ALTURA EJIDO EL AGUILA","EJIDO EL AGUILA","TURNO NOCTURNO","VOLCADURA","EBRIEDAD",0,0,0
2015-05-01 00:00:00,"CENTRO 2DO CUADRO","CALZ. COLON Y AV. ALLENDE","CENTRO","TURNO NOCTURNO","CHOQUE","EXCESO DE VELOCIDAD",0,0,0
2015-05-01 00:00:00,"SUR 2","BLVD. REVOLUCION ALTURA DE AGENCIA CORONA","SANTA BARABRA SUR","TURNO NOCTURNO","CHOQUE","EXCESO DE VELOCIDAD",0,0,0
2015-05-01 00:00:00,"SUR 2","DIAG. DE LAS FUENTES Y CALZ. SATILLO 400","AMPLIACION LA ROSITA","TURNO NOCTURNO","CHOQUE","EXCESO DE VELOCIDAD",0,0,0
2015-05-01 07:40:00,"CENTRO 3ER CUADRO","BLVD. DIAGONAL REFORMA Y BLVD. REVOLUCION","CENTRO","UN CONDUCTOR FUE TRASLADADO A TRIBUNALES POR ESTADO DE EBRIEDAD POR LA UNIDAD 3554","CHOQUE","EBRIEDAD",0,0,2
2015-05-01 10:14:00,"ORIENTE 1","BLVD. REVOLUCION Y AV. MEXICO","FELIPE ANGELES",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-05-01 11:17:00,"CENTRO 3ER CUADRO","CALLE 21 Y ESCOBEDO","CENTRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-05-01 14:47:00,"CENTRO 1ER CUADRO","AV. MORELOS Y CALLE 5 DE MAYO","CENTRO","LESIONADO ******","CHOQUE","CORTE CIRCULACION",1,0,2
2015-05-01 15:53:00,"SUR 2","CALLE ARQUITECTOS Y AV. UNIVERSIDAD","PROFESIONISTAS",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-05-01 16:30:00,"CENTRO 2DO CUADRO","AV. JUAREZ Y CALLE DONATO GUERRA","CENTRO",,"CHOQUE","CORTE CIRCULACION",1,0,2
2015-05-01 16:50:00,"ORIENTE 1","CALZ. RAMON MENDEZ Y CALZ. EMILIO CARRANZA","PALMAS AEROPUERTO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-05-01 17:16:00,"CENTRO 3ER CUADRO","BLVD. INDEPENDENCIA Y AV. ARISTA","CENTRO",,"CHOQUE","CORTE CIRCULACION",1,0,2
2015-05-01 18:00:00,"SUR 2","AV. CAMPO NUEVO (FRENTE LEY EXPRESS)","CAMPO NUEVO ZARAGOZA","CARROMATO CONDUCIDO POR ****** CIRCULABA EN SENTIDO CONTRARIO","CHOQUE","SENTIDO CONTRARIO",1,0,2
2015-05-01 19:38:00,"ORIENTE 1","CALZ. EMILIO CARRANZA Y CALLE SAN SALVADOR","LA AVIACION",,"ATROPELLADO CICLISTA","EBRIEDAD",1,0,1
2015-05-02 00:00:00,"CENTRO 3ER CUADRO","AV. MATAMOROS Y CALZ. AGUILA NACIONAL","CENTRO","TURNO NOCTURNO","CHOQUE","EXCESO DE VELOCIDAD",0,0,0
2015-05-02 00:00:00,"ORIENTE 1","CALZ. ABASTOS Y CALZ. AVILA CAMACHO","ABASTOS","TURNO NOCTURNO","CHOQUE","EXCESO DE VELOCIDAD",0,0,0
2015-05-02 00:00:00,"ORIENTE 1","BLVD. REVOLUCION Y CALZ. FRANCISCO SARABIA","LAS TORRES","TURNO NOCTURNO","CHOQUE","CORTE CIRCULACION",0,0,0
2015-05-02 00:00:00,"CENTRO 4TO CUADRO","BLV. INDEPENDENCIA Y CALLE MAZATLAN","CENTRO","TURNO NOCTURNO","CHOQUE","CORTE CIRCULACION",0,0,0
2015-05-02 07:30:00,"ORIENTE 2","PASEO CERRO DE LAS CALABAZAS ","PEDREGAL DEL VALLE",,"CHOQUE","NO RESPETAR SEÑAL ALTO",1,0,2
2015-05-02 10:03:00,"CENTRO 4TO CUADRO","BLVD. INDEPENDENCIA Y LISBOA","SAN ISIDRO",,"CHOQUE","PERDIDA CONTROL",2,0,2
2015-05-02 10:37:00,"ORIENTE 1","TEPANECAS Y CALZ CUITLAHUAC","SANTA MARIA",,"CHOQUE","PERDIDA CONTROL",0,0,2
2015-05-02 10:43:00,"SUR 1","BLVD. REVOLUCION Y PASEO DE LA ROSITA","CAMPESTRE LA ROSITA",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-05-02 12:00:00,"CENTRO 1ER CUADRO"," 5 DE MAYO Y AV. MORELOS","CENTRO",,"CHOQUE","REVERSA",0,0,2
2015-05-02 13:15:00,"SUR 1","PUENTE DIANA LAURA","CAMPESTRE LA ROSITA",,"CHOQUE","NO RESPETAR DISTANCIA",1,0,2
2015-05-02 18:15:00,"ORIENTE 1","CALZ. URANO","FRACC SATELITE",,"CHOQUE","CORTE CIRCULACION",1,0,2
2015-05-02 18:16:00,"CENTRO 1ER CUADRO","AV. ABASOLO Y LEONA VICARIO","CENTRO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-05-03 00:10:00,"SUR 2","PASEO DEL TECNOLOGICO  Y CARRETERA MIELERAS",,"TURNO NOCTURNO","CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,0
2015-05-03 07:27:00,"ORIENTE 1","PERIFERICO A LA ENTREDA DEL COLISEO FRENTE A GALERIAS","","ACOMPAÑANTE ****** CALLE ****** COL. AVIACION","CHOQUE","EBRIEDAD",0,0,1
2015-05-03 08:13:00,"CENTRO 2DO CUADRO","AV. ABASOLO Y CALLE FRANCISCO I. MADERO","CENTRO",,"CHOQUE","SEMAFORO",2,0,2
