fecha_hora,sector,ubicacion,colonia,observaciones,clasificacion,causa,lesionados,fallecidos,vehiculos_cantidad
2015-01-06 00:00:00,"NO ESPECIFICADO","BLVD CONSTITUCION Y RAMON CORONA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-06 00:00:00,"NO ESPECIFICADO","GALEANA Y AV JUAREZ",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-06 00:00:00,"NO ESPECIFICADO","PAVORREAL Y GAVIOTAS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-06 00:00:00,"NO ESPECIFICADO","CONSTITUCION Y COBIAN",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-06 00:00:00,"NO ESPECIFICADO","AVILA CAMACHO Y AMAZONAS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-06 00:00:00,"NO ESPECIFICADO","PERIFERICO A LA ALTURA DE GALERIAS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","BLVD INDEPENDENCIA Y CALZ RUBEN DARIO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","AV MEXICO Y AV PRESIDENTE CARRANZA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","AV PRESIDENTE CARRANZA Y ZARAGOZA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","BLANCO Y AV PRESIDENTE CARRANZA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","BLVD REVOLUCION Y ZARAGOZA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","PERIFERICO Y AV JUAREZ",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","ORQUIDEAS Y OYAMEL",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","CENTRAL SENDEROS Y TORREON SAN PEDRO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","AV. CARRANZA Y CALLE 18",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","BLVD COSTITUCION Y MONACO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","CALLE TREVIÑO Y BLVD REVOLUCION",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","BLVD DIAGONAL REFORMA Y CALZ MOCTEZUMA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","BLVD REVOLUCION Y CALZ VAZCONCELOS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-07 00:00:00,"NO ESPECIFICADO","PARIS Y RIO DE JANEIRO",,,"VOLCADURA","NO ESPECIFICADO",0,0,0
2015-01-08 00:00:00,"NO ESPECIFICADO","CALZ SALTILLO 400 Y PASEO DEL TECNOLOGICO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-08 00:00:00,"NO ESPECIFICADO","COMONFORT Y CALZ RAUL MADERO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-08 00:00:00,"NO ESPECIFICADO","AV UNIVERIDAD Y DEL COMPRADOR",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-08 00:00:00,"NO ESPECIFICADO","AV JUAREZ Y 5 DE MAYO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-08 00:00:00,"NO ESPECIFICADO","CALLE MUZQUIZ Y FUNDADORES",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-08 00:00:00,"NO ESPECIFICADO","DEL BARRANCO Y CAÑA",,,"INCIDENTES NO ESPECIFICADOS","NO ESPECIFICADO",0,0,0
2015-01-09 00:00:00,"NO ESPECIFICADO","AV PRESIDENTE CARRANZA Y NIÑOS HEROES",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-09 00:00:00,"NO ESPECIFICADO","BLVD INDEPENDENCIA Y RIO BALSAS",,,"INCIDENTES NO ESPECIFICADOS","NO ESPECIFICADO",0,0,0
2015-01-09 00:00:00,"NO ESPECIFICADO","AV HIDALGO Y RDZ",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-09 00:00:00,"NO ESPECIFICADO","AV JUAREZ Y MUZQUIZ",,,"INCIDENTES NO ESPECIFICADOS","NO ESPECIFICADO",0,0,0
