fecha_hora,sector,ubicacion,colonia,observaciones,clasificacion,causa,lesionados,fallecidos,vehiculos_cantidad
2015-07-04 09:19:00,"ORIENTE 1","AV. JUAREZ FRENTE A LA CENTRAL DE AUTOBUS","VILLA CALIFORNIA",,"CHOQUE","NO RESPETAR SEÑAL ALTO",1,0,2
2015-07-04 11:37:00,"CENTRO 3ER CUADRO","BLVD. REVOLUCION Y CALLE JULIAN CARRILLO","CENTRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-04 13:00:00,"CENTRO 1ER CUADRO","AV. MORELOS  Y CALLE  ILDEFONSO FUENTES","CENTRO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-07-04 13:06:00,"CENTRO 2DO CUADRO","AV. MATAMOROS Y CALLE NIÑOS HEROES","CENTRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-04 13:56:00,"SUR 2","BLVD. DIAGONAL DE LAS FUENTES Y DEL ABASTO","VILLAS LA MERCED","3 HERIDOS DE NOMBRES: ******, ******, ****** MISMOS APELLIDOS TRASLADADOS A CRUZ ROJA","CHOQUE","EXCESO DE VELOCIDAD",0,0,2
2015-07-04 14:07:00,"ORIENTE 1","AV. JUAREZ FRENTE A CENTRAL CAMIONERA","VILLA CALIFORNIA",,"CHOQUE","SEMAFORO",0,0,2
2015-07-04 14:23:00,"ORIENTE 1","CALZ. SALTILLO 400 Y AV. JUAREZ","NUEVA CALIFORNIA",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-04 14:33:00,"ORIENTE 1","BLVD. DIAGONAL REFORMA Y CALZ. MOCTEZUMA","MOCTEZUMA",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-04 14:59:00,"SUR 2","PASEO DEL TECNOLOGICO Y BLVD. RODRIGUEZ TRIANA","RINCON DE LA HACIENDA",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,3
2015-07-04 15:15:00,"ORIENTE 2","BLVD. LIBERTAD Y CANAL DEL NORTE","QUINTAS LAGUNA","RESPONSABLE SE DIO A LA HUIDA EN UN JETTA AZUL CON PLACAS ******","ATROPELLADO PEATON","NO RESPETAR DISTANCIA",0,0,1
2015-07-04 15:27:00,"CENTRO 4TO CUADRO","BLVD. CONSTITUCION Y CALLE RIO DE JANEIRO","SAN ISIDRO",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-04 17:25:00,"ORIENTE 2","CALLE PIRITA Y AV. BROMO","VILLAS DEL BOSQUE",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-04 17:40:00,"CENTRO 1ER CUADRO","AV. CARRANZA Y CALLE GALEANA","CENTRO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
