fecha_hora,sector,ubicacion,colonia,observaciones,clasificacion,causa,lesionados,fallecidos,vehiculos_cantidad
2015-02-01 00:00:00,"NO ESPECIFICADO","PERIFERICO A LA ALTURA DE LA COL FIDEL VELAZQUEZ",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-01 00:00:00,"NO ESPECIFICADO","TURIN Y PAVORREAL",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-01 00:00:00,"NO ESPECIFICADO","CALZ SALTILLO 400 Y VENECIA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-01 00:00:00,"NO ESPECIFICADO","BROMO Y NUEVO PERIFERICO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-01 00:00:00,"NO ESPECIFICADO","CALZ CUAUHTEMOC Y MADRID",,,"INCIDENTES NO ESPECIFICADOS","NO ESPECIFICADO",0,0,0
2015-02-01 00:00:00,"NO ESPECIFICADO","BLVD REVOLUCION E ILDEFONSO FUENTES",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-01 00:00:00,"NO ESPECIFICADO","ALCALA Y VIENA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-01 00:00:00,"NO ESPECIFICADO","BLVD DIAGONAL DE LAS FUENTES Y AV DEL BOSQUE",,,"CHOQUE","EBRIEDAD",0,0,0
2015-02-02 00:00:00,"NO ESPECIFICADO","BLVD REVOLUCION Y CALZ VASCONCELOS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-02 00:00:00,"NO ESPECIFICADO","BLVD DIAGONAL REFORMA Y CALLE 32",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-02 00:00:00,"NO ESPECIFICADO","CALZ GOMEZ MORIN Y TURIN",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-02 00:00:00,"NO ESPECIFICADO","BLVD REVOLUCION Y CALLE 10",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-02 00:00:00,"NO ESPECIFICADO","PERIFERICO Y PUENTE DEL CAMPESINO",,,"INCIDENTES NO ESPECIFICADOS","NO ESPECIFICADO",0,0,0
2015-02-02 00:00:00,"NO ESPECIFICADO","CALZ AVILA CAMACHO Y BLVD DIAGONAL REFORMA ",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-02 00:00:00,"NO ESPECIFICADO","BLVD SENDEROS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-02 00:00:00,"NO ESPECIFICADO","CALZ CUAUHTEMOC Y CALZ AVILA CAMACHO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-03 00:00:00,"NO ESPECIFICADO","AV BRAVO Y JIMENEZ",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-03 00:00:00,"NO ESPECIFICADO","ADOLFO AYMES Y ESTRADA GONZALEZ",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-03 00:00:00,"NO ESPECIFICADO","CAZL CUAUHTEMOC Y BLVD INDEPENDENCIA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-03 00:00:00,"NO ESPECIFICADO","COMONFORT Y AV JUAREZ",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-03 00:00:00,"NO ESPECIFICADO","PASEO JACARANDAS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-03 00:00:00,"NO ESPECIFICADO","SANTA TERESITA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-03 00:00:00,"NO ESPECIFICADO","BLVD SENDEROS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-04 00:00:00,"NO ESPECIFICADO","TREVIÑO Y PRESIDENTE CARRANZA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-04 00:00:00,"NO ESPECIFICADO","REVOLUCION Y CALLE 36",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-04 00:00:00,"NO ESPECIFICADO","XICOTENCATL Y TEXCOCO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-04 00:00:00,"NO ESPECIFICADO","VILLAS UNIVERCIDAD Y PIRITA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-05 00:00:00,"NO ESPECIFICADO","AV ALLENDE Y JAVIER MINA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-05 00:00:00,"NO ESPECIFICADO","NETZAHUALCOYOTL Y ATOYAC",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-05 00:00:00,"NO ESPECIFICADO","CALLE 12 Y AV ARTES GRAFICAS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-05 00:00:00,"NO ESPECIFICADO","CARRARA Y NAPOLES",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-05 00:00:00,"NO ESPECIFICADO","COL VALLE DORADO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-05 00:00:00,"NO ESPECIFICADO","ANTIGUA CARRETERA A SAN PEDRO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-05 00:00:00,"NO ESPECIFICADO","ROSALES Y PASEO CENTRAL",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-05 00:00:00,"NO ESPECIFICADO","AVILA Y MOCTEZUMA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-05 00:00:00,"NO ESPECIFICADO","INDEPENDENCIA Y ABASTOS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-05 00:00:00,"NO ESPECIFICADO","INDEPENDENCIA Y MONTEVIDEO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-05 00:00:00,"NO ESPECIFICADO","NOGALES Y ALLENDE",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-05 00:00:00,"NO ESPECIFICADO","CARRANZA Y REFORMA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-05 00:00:00,"NO ESPECIFICADO","PERIFERICO Y PTE SANTA FE",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-02-06 00:00:00,"NO ESPECIFICADO","BLVD REVOLUCION Y PASEO DE LA ROSITA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
