fecha_hora,sector,ubicacion,colonia,observaciones,clasificacion,causa,lesionados,fallecidos,vehiculos_cantidad
2015-06-01 07:49:00,"SUR 2","CALLE PAVORREAL Y CALLE MANABI","PROVITEC",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-01 08:33:00,"SUR 1","CALLE GARDENIAS Y AV. CENTRAL","TORREON JARDIN",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-01 09:02:00,"CENTRO 1ER CUADRO","CALLE RAMOS ARIZPE Y BLVD. INDEPENDENCIA","CENTRO",,"CHOQUE","SEMAFORO",0,0,2
2015-06-01 09:18:00,"CENTRO 4TO CUADRO","PROL. JACARANDAS Y CERRADA LUIS MENDEZ","LAS ALAMEDAS",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-06-01 12:00:00,"SUR 2","BLVD. TORREON-MATAMOROS FRENTE A SORIANA ORIENTE","DIVISION DEL NORTE",,"ATROPELLADO PEATON","CORTE CIRCULACION",1,0,1
2015-06-01 12:54:00,"ORIENTE 1","CALZ. ROVIROSA WADE Y CALZ. FCO SARABIA","SALVADOR ALLENDE",,"CHOQUE","CORTE CIRCULACION",0,0,0
2015-06-01 14:05:00,"CENTRO 4TO CUADRO","BLVD. DE LAS AGUILAS Y RICARDO FLORES MAGON","LAS ALAMEDAS",,"CHOQUE","CORTE CIRCULACION",1,0,2
2015-06-01 14:56:00,"ORIENTE 2","BLVD. LIBERTAD Y AV. ALLENDE","VALLE DEL NAZAS","NO SE REQUIRIO PERITOS","CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-01 15:20:00,"ORIENTE 1","CALLE SIERRA MOJADA Y CALLE GENERAL ARTEAGA","VALLE VERDE","TRAILER CON EXCESO DE CARGA (CARTON MOJADO) PIERDE EL CONTROL AL DESGANCHAR UNA CAJA CAE EN UN 56","CHOQUE","VUELTA INDEBIDA",0,0,2
2015-06-01 16:13:00,"CENTRO 2DO CUADRO","AV. ABASOLO Y CALLE 07","CENTRO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,3
2015-06-02 07:50:00,"SUR 2","AV. PAVORREAL Y CALZ. VASCONCELOS","TORREON RESIDENCIAL",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-02 09:13:00,"CENTRO 4TO CUADRO","AV. ZACATECAS Y CALLE PARIS","SAN ISIDRO","RESPONSABLE SE DIO A LA HUIDA","CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-02 09:31:00,"CENTRO 3ER CUADRO","AV. MATAMOROS Y CALLE 12","CENTRO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",1,0,2
2015-06-02 10:05:00,"CENTRO 4TO CUADRO","CALLE MEXICO Y CALLE SALTILLO","NUEVA LOS ANGELES",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-06-02 10:37:00,"CENTRO 2DO CUADRO","BLVD. REVOLUCION Y CALZ.COLON","CENTRO","UNA MENOR DE UN AÑO DE EDAD FUE TRASLADADA A CRUZ ROJA DE NOMBRE ******","ATROPELLADO PEATON","PERDIDA CONTROL",1,0,1
2015-06-02 10:42:00,"CENTRO 2DO CUADRO","BLVD. REVOLUCION Y CALZ. COLON","CENTRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-02 11:38:00,"CENTRO 4TO CUADRO","CALLE LELICANOS Y PASEO DE LOS ALAMOS","JACARANDAS","RESPONSABLE SE DIO A LA HUIDA","CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-02 13:15:00,"SUR 2","BLVD. LAGUNA SUR Y CALLE 28 DE NOVIEMBRE","LUIS DONALDO COLOSIO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-02 13:48:00,"CENTRO 3ER CUADRO","AV. ALDAMA Y CALLE 22","CENTRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-02 14:27:00,"CENTRO 3ER CUADRO","CALLE 32  Y AV. PRESIDENTE CARRANZA","CENTRO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,0
2015-06-02 14:35:00,"CENTRO 3ER CUADRO","AV. MORELOS Y CALLE 29","CENTRO","PARTICIPANTES OMITIERON DATOS","CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-02 15:13:00,"SUR 1","BLVD. DIAGONAL LAS FUENTES Y CALLE SERAFIN","LA FUENTE",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-02 17:19:00,"ORIENTE 1","BLVD. DIAGONAL REFORMA Y CALZ. MOCTEZUMA","MOCTEZUMA",,"CHOQUE","NO RESPETAR DISTANCIA",2,0,3
2015-06-02 18:27:00,"SUR 1","CALLE ROMAN CEPEDA ATRAS DEL TEC DE LA LAGUNA","LUIS ECHEVERRIA",,"CHOQUE","REVERSA",0,0,2
2015-06-02 18:48:00,"ORIENTE 1","AV. SALTILLO Y CALLE PIEDRAS NEGRAS","VALLE VERDE",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-06-02 20:08:00,"ORIENTE 2","AV. JUAREZ Y CALLE ALAMEDAS","ARBOLEDAS","LESIONADA ****** DE ** AÑOS","CHOQUE","CORTE CIRCULACION",1,0,2
2015-06-02 21:35:00,"CENTRO 4TO CUADRO","AV. MADRID Y CALLE SALTILLO","GRANJAS SAN ISIDRO","ATENDIDO EN TURNO NOCTURNO","CHOQUE","CORTE CIRCULACION",0,0,0
2015-06-03 01:28:00,"SUR 2","CARRETERA MIELERAS Y PASEO DEL TECNOLOGICO","MARIA MERCADO DE LOPEZ ",,"CHOQUE","VUELTA INDEBIDA",1,0,2
2015-06-03 07:39:00,"ORIENTE 1","AV. ALLENDE Y CALZ. FRANSISCO  SARABIA","SAN FELIPE",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-03 07:51:00,"CENTRO 4TO CUADRO","BLVD. RIO NAZAS FRENTE A LA PLAZA IÑIGO","NVA. LOS ANGELES",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-03 07:55:00,"ORIENTE 1","BLVD. REVOLUCION Y CALZ. FCO. SARABIA","HORIZONTE",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,3
2015-06-03 08:02:00,"ORIENTE 2","CARR. TORREON-MATAMOROS Y BLVD. LA LIBERTAD","RESIDENCIAL DEL NAZAS",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-03 10:26:00,"CENTRO 1ER CUADRO","CALLE MUZQUIZ Y AV. PRESIDENTE CARRANZA","CENTRO","****** DE 70 FUE TRASLADADA A CRUZ ROJA","ATROPELLADO PEATON","PERDIDA CONTROL",1,0,1
2015-06-03 12:03:00,"SUR 2","AV. CAMPO DEL CEDRO Y CALLE DEL BARRANCO","VILLAS ZARAGOZA","     ","CHOQUE","CORTE CIRCULACION",0,0,2
2015-06-03 12:55:00,"CENTRO 1ER CUADRO","AV. PRESIDENTE CARRANZA Y CALLE GALEANA","CENTRO",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
